# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,-2.90
# idle,pivot_deg,28.12
# idle,pivot_deg,6.06
# idle,pivot_deg,-14.50
# idle,pivot_deg,3.08
# idle,pivot_deg,5.36
# idle,pivot_deg,0.97
# idle,pivot_deg,-0.70
# idle,pivot_deg,0.26
# idle,pivot_deg,0.53
# idle,pivot_deg,0.35
# idle,pivot_deg,-1.67
# idle,pivot_deg,0.88
# idle,pivot_deg,-0.09
# idle,pivot_deg,0.18
# idle,pivot_deg,0.44
# idle,pivot_deg,0.00
# idle,pivot_deg,0.18
# idle,pivot_deg,0.53
# idle,pivot_deg,0.26
# idle,pivot_deg,-0.62
# idle,pivot_deg,-9.84
# idle,pivot_deg,2.20
# idle,pivot_deg,0.35
# idle,pivot_deg,-5.01
# idle,pivot_deg,-2.02
# idle,pivot_deg,0.53
# idle,pivot_deg,-1.67
# idle,pivot_deg,1.85
# idle,pivot_deg,-2.99
# idle,pivot_deg,-2.46
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
  STAGE 1: motor OFF. Displace ~20-30 deg and RELEASE.
# TEST,freeswing
# DURATION_S,20
# columns: t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
1.1200,0.000,7.18,275.539,0.0,0
1.1250,-0.088,-6.10,275.451,0.0,0
1.1300,0.000,6.11,275.185,0.0,0
1.1350,0.000,2.71,275.451,0.0,0
1.1400,0.000,1.20,275.716,0.0,0
1.1450,0.000,0.53,275.362,0.0,0
1.1500,0.000,6.42,275.451,0.0,0
1.1550,0.000,5.87,275.539,0.0,0
1.1600,-0.088,-6.69,275.007,0.0,0
1.1650,-0.088,-4.35,275.982,0.0,0
1.1700,-0.088,-8.12,275.628,0.0,0
1.1750,0.000,7.16,275.716,0.0,0
1.1800,0.000,3.18,275.539,0.0,0
1.1850,-0.088,-9.51,275.539,0.0,0
1.1900,0.000,2.45,275.273,0.0,0
1.1950,0.000,2.74,275.451,0.0,0
1.2000,0.000,4.78,275.539,0.0,0
1.2050,0.000,5.46,275.628,0.0,0
1.2100,0.000,2.42,275.273,0.0,0
1.2150,0.000,1.07,275.273,0.0,0
1.2200,0.000,5.58,275.451,0.0,0
1.2250,-0.088,-8.46,275.539,0.0,0
1.2300,0.000,4.15,275.273,0.0,0
1.2350,0.000,3.22,275.451,0.0,0
1.2400,0.000,1.43,275.628,0.0,0
1.2450,-0.088,-12.21,275.716,0.0,0
1.2500,0.000,5.50,275.539,0.0,0
1.2550,0.000,4.09,275.451,0.0,0
1.2600,0.000,5.37,275.451,0.0,0
1.2650,0.000,2.80,275.362,0.0,0
1.2700,0.000,1.24,275.628,0.0,0
1.2750,0.000,0.55,275.185,0.0,0
1.2800,0.000,2.86,275.716,0.0,0
1.2850,0.000,3.21,275.185,0.0,0
1.2900,0.000,4.99,275.451,0.0,0
1.2950,-0.088,-9.42,275.539,0.0,0
1.3000,0.000,3.72,275.007,0.0,0
1.3050,0.000,6.44,275.451,0.0,0
1.3100,0.000,3.36,275.539,0.0,0
1.3150,0.000,1.49,276.337,0.0,0
1.3200,0.000,0.66,276.071,0.0,0
1.3250,0.000,3.33,275.362,0.0,0
1.3300,-0.088,-11.37,275.185,0.0,0
1.3350,0.000,2.85,275.451,0.0,0
1.3400,0.000,3.88,275.628,0.0,0
1.3460,0.000,5.97,275.716,0.0,0
1.3510,-0.088,-10.21,275.273,0.0,0
1.3560,0.000,2.51,275.716,0.0,0
1.3610,0.000,1.12,275.539,0.0,0
1.3660,-0.088,-11.14,275.185,0.0,0
1.3710,0.000,1.73,275.362,0.0,0
1.3760,-0.088,-12.10,275.362,0.0,0
1.3810,0.000,1.30,275.539,0.0,0
1.3860,0.000,4.13,275.185,0.0,0
1.3910,0.000,6.81,275.451,0.0,0
1.3960,0.000,3.02,275.451,0.0,0
1.4010,-0.088,-7.71,275.628,0.0,0
1.4060,0.000,4.90,275.185,0.0,0
1.4110,0.000,2.17,275.716,0.0,0
1.4160,-0.088,-8.87,275.539,0.0,0
1.4210,0.000,2.73,275.628,0.0,0
1.4260,0.000,1.21,275.894,0.0,0
1.4310,0.000,0.54,275.539,0.0,0
1.4360,0.000,1.45,275.185,0.0,0
1.4410,-0.088,-9.60,275.539,0.0,0
1.4460,-0.088,-8.57,275.451,0.0,0
1.4510,0.000,4.09,275.451,0.0,0
1.4560,-0.088,-9.12,275.539,0.0,0
1.4610,0.000,2.62,275.628,0.0,0
1.4660,-0.088,-11.70,275.539,0.0,0
1.4710,-0.088,-11.37,275.628,0.0,0
1.4760,0.000,3.25,275.273,0.0,0
1.4810,0.000,5.02,275.539,0.0,0
1.4860,0.000,2.23,275.539,0.0,0
1.4910,0.000,1.16,275.451,0.0,0
1.4960,0.000,6.71,275.628,0.0,0
1.5010,-0.088,-6.31,275.539,0.0,0
1.5060,0.000,3.88,275.539,0.0,0
1.5110,-0.088,-7.56,275.451,0.0,0
1.5160,0.000,6.35,275.982,0.0,0
1.5210,0.000,4.20,275.451,0.0,0
1.5260,0.000,3.09,275.451,0.0,0
1.5310,0.000,2.76,275.539,0.0,0
1.5360,0.000,1.44,275.982,0.0,0
1.5410,0.000,0.64,275.628,0.0,0
1.5460,0.000,0.28,275.539,0.0,0
1.5510,0.000,3.43,275.273,0.0,0
1.5560,-0.088,-9.95,275.185,0.0,0
1.5610,0.000,2.25,275.362,0.0,0
1.5660,0.000,4.57,275.716,0.0,0
1.5710,-0.088,-7.49,275.716,0.0,0
1.5760,0.000,5.27,275.451,0.0,0
1.5810,0.000,2.75,275.362,0.0,0
1.5870,0.000,2.87,275.539,0.0,0
1.5920,0.000,3.89,275.539,0.0,0
1.5970,-0.088,-7.57,275.539,0.0,0
1.6020,0.000,6.16,275.362,0.0,0
1.6070,0.000,4.12,275.007,0.0,0
1.6120,0.000,1.83,275.451,0.0,0
1.6170,-0.088,-8.47,275.539,0.0,0
1.6220,0.000,4.14,275.362,0.0,0
1.6270,0.000,5.24,275.451,0.0,0
1.6320,0.000,3.56,275.451,0.0,0
1.6370,0.000,2.80,275.451,0.0,0
1.6420,0.000,2.64,274.830,0.0,0
1.6470,0.000,3.79,275.362,0.0,0
1.6520,0.000,1.68,275.805,0.0,0
1.6570,0.000,0.75,275.539,0.0,0
1.6620,0.000,0.33,275.362,0.0,0
1.6670,-0.088,-7.75,275.628,0.0,0
1.6720,0.000,3.80,275.539,0.0,0
1.6770,0.000,3.61,275.539,0.0,0
1.6820,0.000,1.60,275.451,0.0,0
1.6870,0.000,4.28,275.451,0.0,0
1.6920,0.000,3.30,275.362,0.0,0
1.6970,0.088,12.39,275.539,0.0,0
1.7020,0.439,45.23,275.362,0.0,0
1.7070,0.527,29.36,275.451,0.0,0
1.7120,0.527,13.03,275.451,0.0,0
1.7170,0.352,-13.91,275.362,0.0,0
1.7220,0.352,-6.17,275.451,0.0,0
1.7270,0.352,-2.74,275.539,0.0,0
1.7320,0.176,-20.05,275.362,0.0,0
