# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-132.98
# idle,pivot_deg,-7.12
# idle,pivot_deg,36.30
# idle,pivot_deg,33.31
# idle,pivot_deg,35.77
# idle,pivot_deg,36.30
# idle,pivot_deg,36.04
# > o
# ok,pivot zeroed
# idle,pivot_deg,0.35
# idle,pivot_deg,1.58
# idle,pivot_deg,1.93
# idle,pivot_deg,1.32
# idle,pivot_deg,0.97
# > q 180

#BEGIN
# test,yquiet
# nominal_deg,180.0
# sample_hz,200
# action,do not touch the arm
t_s,pivot_deg,wheel_deg
1.3000,2.373,248.774
1.3050,2.373,248.685
1.3100,2.461,248.685
1.3150,2.549,248.508
1.3200,2.549,248.685
1.3250,2.637,248.597
1.3300,2.725,248.508
1.3350,2.813,248.951
1.3400,2.900,248.419
1.3450,2.900,248.685
1.3500,2.900,248.508
1.3550,2.900,248.508
1.3600,2.900,248.685
1.3650,2.988,249.129
1.3700,2.900,248.508
1.3750,2.900,248.685
1.3800,2.900,248.508
1.3850,2.900,248.685
1.3900,2.813,248.685
1.3950,2.813,248.597
1.4000,2.813,248.951
1.4050,2.813,248.597
1.4100,2.813,248.508
1.4150,2.813,248.685
1.4200,2.725,248.508
1.4250,2.813,248.685
1.4300,2.813,248.685
1.4350,2.813,249.040
1.4400,2.900,248.597
1.4450,2.900,248.685
1.4500,2.988,248.508
1.4550,2.988,248.508
1.4600,3.076,248.419
1.4650,3.076,248.597
1.4700,3.164,248.685
1.4750,3.076,248.419
1.4800,3.076,248.597
1.4850,2.988,248.508
1.4900,2.900,248.419
1.4950,2.900,248.597
1.5000,2.813,248.242
1.5050,2.813,248.951
1.5100,2.813,248.685
1.5150,2.813,248.597
1.5200,2.725,248.508
1.5250,2.637,248.419
1.5300,2.725,248.508
1.5350,2.725,248.597
1.5400,2.813,248.685
1.5450,2.813,248.685
1.5500,2.725,248.774
1.5550,2.725,248.508
1.5600,2.725,248.685
1.5650,2.813,248.242
1.5700,2.813,248.242
1.5750,2.813,248.597
1.5800,2.900,248.685
1.5850,2.900,248.508
1.5900,2.900,248.419
1.5950,2.900,248.508
